date,priceUsd,priceJpy,jpyPerUsd
1987-12-31,100,12100,121
1988-01-29,102.33015333,13077.793595574,127.8
1988-02-29,108.07346946,13867.9876011072,128.32
1988-03-31,111.22208153,13822.680292548399,124.28
1988-04-29,112.44816929999999,14066.141497736999,125.09
1988-05-31,110.04093168,13773.8234183856,125.17
1988-06-30,109.74571559,14609.349659340802,133.12
1988-07-29,111.59303018,14858.611968467001,133.15
1988-08-31,105.27756774000001,14369.335220832601,136.49
1988-09-30,109.61762316000001,14754.532077336,134.6
1988-10-31,116.60050941,14636.8619462373,125.53
1988-11-30,120.31418521,14604.9389426419,121.39
1988-12-30,121.20174236,15141.7336730348,124.93
1989-01-31,125.36915737,16331.8401305899,130.27
1989-02-28,124.40828309,15778.702544304699,126.83
1989-03-31,123.4945259,16388.958532189,132.71
1989-04-28,126.36500529,16807.8093536229,133.01
1989-05-31,123.15788139,17591.8717777476,142.84
1989-06-30,121.22688648,17448.1857710664,143.93
1989-07-31,134.69391488,18467.882669196802,137.11
1989-08-31,131.29869699,19023.8682068811,144.89
1989-09-29,135.03876359999998,18774.439303307998,139.03
1989-10-31,130.45834107,18635.9740218495,142.85
1989-11-30,135.35876603,19331.9389644046,142.82
1989-12-29,139.56942047,20084.039605633003,143.9
1990-01-31,132.91402253,19199.4305544585,144.45
1990-02-28,127.09205076,18945.6120067932,149.07
1990-03-30,118.99587309,18864.4157609577,158.53
1990-04-30,117.24286248,18629.890848072002,158.9
1990-05-31,129.24214179999998,19669.361560542,152.19
1990-06-29,128.1188029,19502.244177438,152.22
1990-07-31,129.15691082,18824.619752015,145.75
1990-08-31,116.74828148,16782.56546275,143.75
1990-09-28,104.28320517,14446.3524122001,138.53
1990-10-31,113.61451405,14783.520568186,130.12
1990-11-30,111.44119156000001,14771.529941278002,132.55
1990-12-31,113.56446066000001,15405.019088529001,135.65
1991-01-31,117.49666555,15421.4373534375,131.25
1991-02-28,128.28080653,17065.195692685902,133.03
1991-03-29,124.43836984000001,17510.967403884802,140.72
1991-04-30,125.21172416,17036.3071892096,136.06
1991-05-31,127.94220559,17713.5983639355,138.45
1991-06-28,119.88436636,16481.702687172798,137.48
1991-07-31,125.33614582,17214.919628377,137.35
1991-08-30,124.82093197,17079.2481214551,136.83
1991-09-30,127.73668226000001,16996.6429415156,133.06
1991-10-31,129.69937494,16967.2722296508,130.82
1991-11-29,123.85292857,16103.357772671401,130.02
1991-12-31,132.78038528,16577.631102207997,124.85
1992-01-31,130.53276273,16422.3268790613,125.81
1992-02-28,128.29295553,16613.937741135,129.5
1992-03-31,122.31130824,16242.941734272003,132.8
1992-04-30,123.66974114,16472.809519847997,133.2
1992-05-29,128.13070098,16362.290515146,127.7
1992-06-30,123.27780959,15479.9945502163,125.57
1992-07-31,123.39005467,15682.875948556999,127.1
1992-08-31,125.87323904,15491.219528652799,123.07
1992-09-30,124.52475288000001,14920.5558900816,119.82
1992-10-30,121.21561122,14967.7036734456,123.48
1992-11-30,122.97554407,15337.5098564104,124.72
1992-12-31,123.88175729,15466.6373976565,124.85
1993-01-29,124.06487287,15464.686403245501,124.65
1993-02-26,126.72847699,14979.305980218001,118.2
1993-03-31,133.74959226000001,15347.765711835002,114.75
1993-04-30,139.53963525,15502.853476274999,111.1
